pokemon
abilities,attack,classfication,defense,hp,japanese_name,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",80,Rock Pokémon,100,40,Isitsubuteイシツブテ,Geodude,74,30,30,20,rock,ground
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",95,Rock Pokémon,115,55,Goloneゴローン,Graveler,75,45,45,35,rock,ground
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",120,Megaton Pokémon,130,80,Golonyaゴローニャ,Golem,76,55,65,45,rock,ground
"['Run Away', 'Flash Fire', 'Flame Body']",85,Fire Horse Pokémon,55,50,Ponytaポニータ,Ponyta,77,65,65,90,fire,
"['Run Away', 'Flash Fire', 'Flame Body']",100,Fire Horse Pokémon,70,65,Gallopギャロップ,Rapidash,78,80,80,105,fire,
"['Oblivious', 'Own Tempo', 'Regenerator']",65,Dopey Pokémon,65,90,Yadonヤドン,Slowpoke,79,40,40,15,water,psychic
"['Oblivious', 'Own Tempo', 'Regenerator']",75,Hermit Crab Pokémon,180,95,Yadoranヤドラン,Slowbro,80,130,80,30,water,psychic
"['Magnet Pull', 'Sturdy', 'Analytic']",35,Magnet Pokémon,70,25,Coilコイル,Magnemite,81,95,55,45,electric,steel
"['Magnet Pull', 'Sturdy', 'Analytic']",60,Magnet Pokémon,95,50,Rarecoilレアコイル,Magneton,82,120,70,70,electric,steel
"['Keen Eye', 'Inner Focus', 'Defiant']",90,Wild Duck Pokémon,55,52,Kamonegiカモネギ,Farfetch'd,83,58,62,60,normal,flying
"['Run Away', 'Early Bird', 'Tangled Feet']",85,Twin Bird Pokémon,45,35,Dodoドードー,Doduo,84,35,35,75,normal,flying
"['Run Away', 'Early Bird', 'Tangled Feet']",110,Triple Bird Pokémon,70,60,Dodorioドードリオ,Dodrio,85,60,60,110,normal,flying
"['Thick Fat', 'Hydration', 'Ice Body']",45,Sea Lion Pokémon,55,65,Pawouパウワウ,Seel,86,45,70,45,water,
"['Thick Fat', 'Hydration', 'Ice Body']",70,Sea Lion Pokémon,80,90,Jugonジュゴン,Dewgong,87,70,95,70,water,ice
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",80,Sludge Pokémon,50,80,Betbeterベトベター,Grimer,88,40,50,25,poison,poison
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",105,Sludge Pokémon,75,105,Betbetonベトベトン,Muk,89,65,100,50,poison,poison
"['Shell Armor', 'Skill Link', 'Overcoat']",65,Bivalve Pokémon,100,30,Shellderシェルダー,Shellder,90,45,25,40,water,
"['Shell Armor', 'Skill Link', 'Overcoat']",95,Bivalve Pokémon,180,50,Parshenパルシェン,Cloyster,91,85,45,70,water,ice
['Levitate'],35,Gas Pokémon,30,30,Ghosゴース,Gastly,92,100,35,80,ghost,poison
['Levitate'],50,Gas Pokémon,45,45,Ghostゴースト,Haunter,93,115,55,95,ghost,poison
['Cursed Body'],65,Shadow Pokémon,80,60,Gangarゲンガー,Gengar,94,170,95,130,ghost,poison
"['Rock Head', 'Sturdy', 'Weak Armor']",45,Rock Snake Pokémon,160,35,Iwarkイワーク,Onix,95,30,45,70,rock,ground
"['Insomnia', 'Forewarn', 'Inner Focus']",48,Hypnosis Pokémon,45,60,Sleepeスリープ,Drowzee,96,43,90,42,psychic,
"['Insomnia', 'Forewarn', 'Inner Focus']",73,Hypnosis Pokémon,70,85,Sleeperスリーパー,Hypno,97,73,115,67,psychic,
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",105,River Crab Pokémon,90,30,Crabクラブ,Krabby,98,25,25,50,water,
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",130,Pincer Pokémon,115,55,Kinglerキングラー,Kingler,99,50,50,75,water,
"['Soundproof', 'Static', 'Aftermath']",30,Ball Pokémon,50,40,Biriridamaビリリダマ,Voltorb,100,55,55,100,electric,
"['Soundproof', 'Static', 'Aftermath']",50,Ball Pokémon,70,60,Marumineマルマイン,Electrode,101,80,80,150,electric,
"['Chlorophyll', 'Harvest']",40,Egg Pokémon,80,60,Tamatamaタマタマ,Exeggcute,102,60,45,40,grass,psychic
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",105,Coconut Pokémon,85,95,Nassyナッシー,Exeggutor,103,125,75,45,grass,psychic
"['Rock Head', 'Lightningrod', 'Battle Armor']",50,Lonely Pokémon,95,50,Karakaraカラカラ,Cubone,104,40,50,35,ground,
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",80,Bone Keeper Pokémon,110,60,Garagaraガラガラ,Marowak,105,50,80,45,ground,fire
"['Limber', 'Reckless', 'Unburden']",120,Kicking Pokémon,53,50,Sawamularサワムラー,Hitmonlee,106,35,110,87,fighting,
"['Keen Eye', 'Iron Fist', 'Inner Focus']",105,Punching Pokémon,79,50,Ebiwalarエビワラー,Hitmonchan,107,35,110,76,fighting,
"['Own Tempo', 'Oblivious', 'Cloud Nine']",55,Licking Pokémon,75,90,Beroringaベロリンガ,Lickitung,108,60,75,30,normal,
['Levitate'],65,Poison Gas Pokémon,95,40,Dogarsドガース,Koffing,109,60,45,35,poison,
['Levitate'],90,Poison Gas Pokémon,120,65,Matadogasマタドガス,Weezing,110,85,70,60,poison,
"['Lightningrod', 'Rock Head', 'Reckless']",85,Spikes Pokémon,95,80,Sihornサイホーン,Rhyhorn,111,30,30,25,ground,rock
"['Lightningrod', 'Rock Head', 'Reckless']",130,Drill Pokémon,120,105,Sidonサイドン,Rhydon,112,45,45,40,ground,rock
"['Natural Cure', 'Serene Grace', 'Healer']",5,Egg Pokémon,5,250,Luckyラッキー,Chansey,113,35,105,50,normal,
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",55,Vine Pokémon,115,65,Monjaraモンジャラ,Tangela,114,100,40,60,grass,
"['Early Bird', 'Scrappy', 'Inner Focus']",125,Parent Pokémon,100,105,Garuraガルーラ,Kangaskhan,115,60,100,100,normal,
"['Swift Swim', 'Sniper', 'Damp']",40,Dragon Pokémon,70,30,Tattuタッツー,Horsea,116,70,25,60,water,
"['Poison Point', 'Sniper', 'Damp']",65,Dragon Pokémon,95,55,Seadraシードラ,Seadra,117,95,45,85,water,
"['Swift Swim', 'Water Veil', 'Lightningrod']",67,Goldfish Pokémon,60,45,Tosakintoトサキント,Goldeen,118,35,50,63,water,
"['Swift Swim', 'Water Veil', 'Lightningrod']",92,Goldfish Pokémon,65,80,Azumaoアズマオウ,Seaking,119,65,80,68,water,
"['Illuminate', 'Natural Cure', 'Analytic']",45,Starshape Pokémon,55,30,Hitodemanヒトデマン,Staryu,120,70,55,85,water,
"['Illuminate', 'Natural Cure', 'Analytic']",75,Mysterious Pokémon,85,60,Starmieスターミー,Starmie,121,100,85,115,water,psychic
"['Soundproof', 'Filter', 'Technician']",45,Barrier Pokémon,65,40,Barrierdバリヤード,Mr. Mime,122,100,120,90,psychic,fairy
"['Swarm', 'Technician', 'Steadfast']",110,Mantis Pokémon,80,70,Strikeストライク,Scyther,123,55,80,105,bug,flying
"['Oblivious', 'Forewarn', 'Dry Skin']",50,Humanshape Pokémon,35,65,Rougelaルージュラ,Jynx,124,115,95,95,ice,psychic
"['Static', 'Vital Spirit']",83,Electric Pokémon,57,65,Elebooエレブー,Electabuzz,125,95,85,105,electric,
"['Flame Body', 'Vital Spirit']",95,Spitfire Pokémon,57,65,Booberブーバー,Magmar,126,100,85,93,fire,
"['Hyper Cutter', 'Mold Breaker', 'Moxie']",155,Stagbeetle Pokémon,120,65,Kailiosカイロス,Pinsir,127,65,90,105,bug,
"['Intimidate', 'Anger Point', 'Sheer Force']",100,Wild Bull Pokémon,95,75,Kentaurosケンタロス,Tauros,128,40,70,110,normal,
"['Swift Swim', 'Rattled']",10,Fish Pokémon,55,20,Koikingコイキング,Magikarp,129,15,20,80,water,
"['Intimidate', 'Moxie']",155,Atrocious Pokémon,109,95,Gyaradosギャラドス,Gyarados,130,70,130,81,water,flying
"['Water Absorb', 'Shell Armor', 'Hydration']",85,Transport Pokémon,80,130,Laplaceラプラス,Lapras,131,85,95,60,water,ice
"['Limber', 'Imposter']",48,Transform Pokémon,48,48,Metamonメタモン,Ditto,132,48,48,48,normal,
"['Run Away', 'Adaptability', 'Anticipation']",55,Evolution Pokémon,50,55,Eievuiイーブイ,Eevee,133,45,65,55,normal,
"['Water Absorb', 'Hydration']",65,Bubble Jet Pokémon,60,130,Showersシャワーズ,Vaporeon,134,110,95,65,water,
"['Volt Absorb', 'Quick Feet']",65,Lightning Pokémon,60,65,Thundersサンダース,Jolteon,135,110,95,130,electric,
"['Flash Fire', 'Guts']",130,Flame Pokémon,60,65,Boosterブースター,Flareon,136,95,110,65,fire,
"['Trace', 'Download', 'Analytic']",60,Virtual Pokémon,70,65,Porygonポリゴン,Porygon,137,85,75,40,normal,
"['Swift Swim', 'Shell Armor', 'Weak Armor']",40,Spiral Pokémon,100,35,Omniteオムナイト,Omanyte,138,90,55,35,rock,water
"['Swift Swim', 'Shell Armor', 'Weak Armor']",60,Spiral Pokémon,125,70,Omstarオムスター,Omastar,139,115,70,55,rock,water
"['Swift Swim', 'Battle Armor', 'Weak Armor']",80,Shellfish Pokémon,90,30,Kabutoカブト,Kabuto,140,55,45,55,rock,water
"['Swift Swim', 'Battle Armor', 'Weak Armor']",115,Shellfish Pokémon,105,60,Kabutopsカブトプス,Kabutops,141,65,70,80,rock,water
"['Rock Head', 'Pressure', 'Unnerve']",135,Fossil Pokémon,85,80,Pteraプテラ,Aerodactyl,142,70,95,150,rock,flying
"['Immunity', 'Thick Fat', 'Gluttony']",110,Sleeping Pokémon,65,160,Kabigonカビゴン,Snorlax,143,65,110,30,normal,
"['Pressure', 'Snow Cloak']",85,Freeze Pokémon,100,90,Freezerフリーザー,Articuno,144,95,125,85,ice,flying
"['Pressure', 'Static']",90,Electric Pokémon,85,90,Thunderサンダー,Zapdos,145,125,90,100,electric,flying
"['Pressure', 'Flame Body']",100,Flame Pokémon,90,90,Fireファイヤー,Moltres,146,125,85,90,fire,flying
"['Shed Skin', 'Marvel Scale']",64,Dragon Pokémon,45,41,Miniryuミニリュウ,Dratini,147,50,50,50,dragon,
"['Shed Skin', 'Marvel Scale']",84,Dragon Pokémon,65,61,Hakuryuハクリュー,Dragonair,148,70,70,70,dragon,
"['Inner Focus', 'Multiscale']",134,Dragon Pokémon,95,91,Kairyuカイリュー,Dragonite,149,100,100,80,dragon,flying
"['Pressure', 'Unnerve']",150,Genetic Pokémon,70,106,Mewtwoミュウツー,Mewtwo,150,194,120,140,psychic,
['Synchronize'],100,New Species Pokémon,100,100,Mewミュウ,Mew,151,100,100,100,psychic,
"['Overgrow', 'Leaf Guard']",49,Leaf Pokémon,65,45,Chicoritaチコリータ,Chikorita,152,49,65,45,grass,
"['Overgrow', 'Leaf Guard']",62,Leaf Pokémon,80,60,Bayleafベイリーフ,Bayleef,153,63,80,60,grass,
"['Overgrow', 'Leaf Guard']",82,Herb Pokémon,100,80,Meganiumメガニウム,Meganium,154,83,100,80,grass,
"['Blaze', 'Flash Fire']",52,Fire Mouse Pokémon,43,39,Hinoarashiヒノアラシ,Cyndaquil,155,60,50,65,fire,
"['Blaze', 'Flash Fire']",64,Volcano Pokémon,58,58,Magmarashiマグマラシ,Quilava,156,80,65,80,fire,
"['Blaze', 'Flash Fire']",84,Volcano Pokémon,78,78,Bakphoonバクフーン,Typhlosion,157,109,85,100,fire,
"['Torrent', 'Sheer Force']",65,Big Jaw Pokémon,64,50,Waninokoワニノコ,Totodile,158,44,48,43,water,
"['Torrent', 'Sheer Force']",80,Big Jaw Pokémon,80,65,Alligatesアリゲイツ,Croconaw,159,59,63,58,water,
"['Torrent', 'Sheer Force']",105,Big Jaw Pokémon,100,85,Ordileオーダイル,Feraligatr,160,79,83,78,water,
"['Run Away', 'Keen Eye', 'Frisk']",46,Scout Pokémon,34,35,Otachiオタチ,Sentret,161,35,45,20,normal,
"['Run Away', 'Keen Eye', 'Frisk']",76,Long Body Pokémon,64,85,Ootachiオオタチ,Furret,162,45,55,90,normal,
"['Insomnia', 'Keen Eye', 'Tinted Lens']",30,Owl Pokémon,30,60,Hohoホーホー,Hoothoot,163,36,56,50,normal,flying
"['Insomnia', 'Keen Eye', 'Tinted Lens']",50,Owl Pokémon,50,100,Yorunozukuヨルノズク,Noctowl,164,86,96,70,normal,flying
"['Swarm', 'Early Bird', 'Rattled']",20,Five Star Pokémon,30,40,Redibaレディバ,Ledyba,165,40,80,55,bug,flying
"['Swarm', 'Early Bird', 'Iron Fist']",35,Five Star Pokémon,50,55,Redianレディアン,Ledian,166,55,110,85,bug,flying
"['Swarm', 'Insomnia', 'Sniper']",60,String Spit Pokémon,40,40,Itomaruイトマル,Spinarak,167,40,40,30,bug,poison
"['Swarm', 'Insomnia', 'Sniper']",90,Long Leg Pokémon,70,70,Ariadosアリアドス,Ariados,168,60,70,40,bug,poison
"['Inner Focus', 'Infiltrator']",90,Bat Pokémon,80,85,Crobatクロバット,Crobat,169,70,80,130,poison,flying
"['Volt Absorb', 'Illuminate', 'Water Absorb']",38,Angler Pokémon,38,75,Chonchieチョンチー,Chinchou,170,56,56,67,water,electric
"['Volt Absorb', 'Illuminate', 'Water Absorb']",58,Light Pokémon,58,125,Lanternランターン,Lanturn,171,76,76,67,water,electric
"['Static', 'Lightningrod']",40,Tiny Mouse Pokémon,15,20,Pichuピチュー,Pichu,172,35,35,60,electric,
"['Cute Charm', 'Magic Guard', 'Friend Guard']",25,Star Shape Pokémon,28,50,Pyピィ,Cleffa,173,45,55,15,fairy,
"['Cute Charm', 'Competitive', 'Friend Guard']",30,Balloon Pokémon,15,90,Pupurinププリン,Igglybuff,174,40,20,15,normal,fairy
"['Hustle', 'Serene Grace', 'Super Luck']",20,Spike Ball Pokémon,65,35,Togepyトゲピー,Togepi,175,40,65,20,fairy,
"['Hustle', 'Serene Grace', 'Super Luck']",40,Happiness Pokémon,85,55,Togechickトゲチック,Togetic,176,80,105,40,fairy,flying
"['Synchronize', 'Early Bird', 'Magic Bounce']",50,Little Bird Pokémon,45,40,Natyネイティ,Natu,177,70,45,70,psychic,flying
"['Synchronize', 'Early Bird', 'Magic Bounce']",75,Mystic Pokémon,70,65,Natioネイティオ,Xatu,178,95,70,95,psychic,flying
"['Static', 'Plus']",40,Wool Pokémon,40,55,Merriepメリープ,Mareep,179,65,45,35,electric,
"['Static', 'Plus']",55,Wool Pokémon,55,70,Mokokoモココ,Flaaffy,180,80,60,45,electric,
"['Static', 'Plus']",95,Light Pokémon,105,90,Denryuデンリュウ,Ampharos,181,165,110,45,electric,
"['Chlorophyll', 'Healer']",80,Flower Pokémon,95,75,Kireihanaキレイハナ,Bellossom,182,90,100,50,grass,
"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,Aquamouse Pokémon,50,70,Marilマリル,Marill,183,20,50,40,water,fairy
"['Thick Fat', 'Huge Power', 'Sap Sipper']",50,Aquarabbit Pokémon,80,100,Marilliマリルリ,Azumarill,184,60,80,50,water,fairy
"['Sturdy', 'Rock Head', 'Rattled']",100,Imitation Pokémon,115,70,Usokkieウソッキー,Sudowoodo,185,30,65,30,rock,
"['Water Absorb', 'Damp', 'Drizzle']",75,Frog Pokémon,75,90,Nyorotonoニョロトノ,Politoed,186,90,100,70,water,
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,Cottonweed Pokémon,40,35,Haneccoハネッコ,Hoppip,187,35,55,50,grass,flying
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",45,Cottonweed Pokémon,50,55,Popoccoポポッコ,Skiploom,188,45,65,80,grass,flying
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,Cottonweed Pokémon,70,75,Wataccoワタッコ,Jumpluff,189,55,95,110,grass,flying
"['Run Away', 'Pickup', 'Skill Link']",70,Long Tail Pokémon,55,55,Eipamエイパム,Aipom,190,40,55,85,normal,
"['Chlorophyll', 'Solar Power', 'Early Bird']",30,Seed Pokémon,30,30,Himanutsヒマナッツ,Sunkern,191,30,30,30,grass,
"['Chlorophyll', 'Solar Power', 'Early Bird']",75,Sun Pokémon,55,75,Kimawariキマワリ,Sunflora,192,105,85,30,grass,
"['Speed Boost', 'Compoundeyes', 'Frisk']",65,Clear Wing Pokémon,45,65,Yanyanmaヤンヤンマ,Yanma,193,75,45,95,bug,flying
"['Damp', 'Water Absorb', 'Unaware']",45,Water Fish Pokémon,45,55,Upahウパー,Wooper,194,25,25,15,water,ground
"['Damp', 'Water Absorb', 'Unaware']",85,Water Fish Pokémon,85,95,Nuohヌオー,Quagsire,195,65,65,35,water,ground
"['Synchronize', 'Magic Bounce']",65,Sun Pokémon,60,65,Eifieエーフィ,Espeon,196,130,95,110,psychic,
"['Synchronize', 'Inner Focus']",65,Moonlight Pokémon,110,95,Blackyブラッキー,Umbreon,197,60,130,65,dark,
"['Insomnia', 'Super Luck', 'Prankster']",85,Darkness Pokémon,42,60,Yamikarasuヤミカラス,Murkrow,198,85,42,91,dark,flying
